Optimization Step,Mean Reward,Std Dev Reward
0,0.0,0.0
1,329.0,0.0
2,34.0,0.0
4,34.0,0.0
6,34.0,0.0
8,329.0,0.0
9,329.0,0.0
10,329.0,0.0
11,329.0,0.0
13,329.0,0.0
15,329.0,0.0
16,329.0,0.0
18,329.0,0.0
19,238.0,0.0
20,238.0,0.0
22,238.0,0.0
23,45.0,0.0
24,329.0,0.0
25,329.0,0.0
26,329.0,0.0
27,329.0,0.0
29,329.0,0.0
31,329.0,0.0
33,329.0,0.0
35,329.0,0.0
36,34.0,0.0
37,27.0,0.0
38,329.0,0.0
39,329.0,0.0
40,329.0,0.0
